,CountryName,RegionName,Jurisdiction,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-07-17,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,3.0,111.0,1.0668730571483604,0.0031279801856075474,0.9597346323511939,1.0659017717491568,1.1790370318085115
2020-07-18,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,3.0,111.0,1.0686291207943075,0.0031017910170804738,0.9625154684459896,1.0676596142025474,1.1800218348707228
2020-07-19,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,3.0,113.0,1.0698834098606138,0.00304479542215057,0.9646333128455788,1.0689722314005854,1.1796467620746967
2020-07-20,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,3.0,115.0,1.075794527114337,0.003008725265954532,0.9699966846757926,1.0748466722409609,1.1859370948957269
2020-07-21,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,3.0,117.0,1.076050923502319,0.0029647308571722607,0.9724205056088069,1.075126715288591,1.1846363233939547
2020-07-22,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,3.0,117.0,1.0799017456886606,0.0029303282361552753,0.9767775019690532,1.079004151555494,1.1868004530162624
2020-07-23,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,3.0,117.0,1.0862447883250583,0.0028891236176531395,0.9839948113605612,1.0853910814365233,1.195868980921344
2020-07-24,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,3.0,118.0,1.0972950368192524,0.0028757654212660973,0.9953778367379451,1.096437985482515,1.2041160178691248
2020-07-25,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,3.0,119.0,1.1159140494024635,0.0028563718608508896,1.013435791256739,1.115072163532638,1.2224046264546564
2020-07-26,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,3.0,119.0,1.1545040838837712,0.0029069203425065877,1.0505833059700262,1.153653600703291,1.2631114345449355
